room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
3058100,1418,15566016,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,3,4.0,4,2.0,,88.0,,Novíssimo Ap 2 quartos - V. Olimpia,Apartment,2017-07-02 04:24:04.959433,-23.593475,-46.686112,0101000020E610000053B29C84D25747C05DFE43FAED9737C0
2641269,1418,13523391,Entire home/apt,,Sao Paulo,SAO PAULO,Vila Andrade,1,0.0,4,3.0,,94.0,,Cozy and charming apartment,Apartment,2017-07-02 04:24:04.952790,-23.623557,-46.734559,0101000020E6100000C1FD8007065E47C01F317A6EA19F37C0
14415122,1418,88677596,Entire home/apt,,Sao Paulo,SAO PAULO,Morumbi,1,0.0,3,3.0,,85.0,,Apartamento confortável no Real Parque,Apartment,2017-07-02 04:24:04.949289,-23.613861,-46.705417,0101000020E61000006E85B01A4B5A47C0344A97FE259D37C0
1840202,1418,9617242,Entire home/apt,,Sao Paulo,SAO PAULO,Vila Andrade,0,0.0,3,1.0,,88.0,,FLAT Morumbi Business,Apartment,2017-07-02 04:24:03.340181,-23.627157,-46.722451,0101000020E610000033FB3C46795C47C01D75745C8DA037C0
12870637,1418,1268752,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,0,0.0,2,1.0,,103.0,,BEAUTIFUL AND BRIGHT APARTMENT,Apartment,2017-07-02 04:24:03.329936,-23.624008,-46.69406,0101000020E61000001BBB44F5D65847C03F7100FDBE9F37C0
8221313,1418,43351740,Entire home/apt,,Sao Paulo,SAO PAULO,Vila Andrade,0,0.0,2,1.0,,85.0,,MORUMBI CLUB LIFE,Apartment,2017-07-02 04:24:03.316195,-23.619006,-46.731652,0101000020E6100000C806D2C5A65D47C01C075E2D779E37C0
6376822,1418,21378654,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,0,0.0,1,1.0,,94.0,,FLAT ESTANCONFOR VILA OLIMPIA,Apartment,2017-07-02 04:24:01.701615,-23.593536,-46.687574,0101000020E61000003ACAC16C025847C0A8FFACF9F19737C0
5200143,1418,19598551,Entire home/apt,,Sao Paulo,SAO PAULO,Santo Amaro,1,0.0,4,2.0,,94.0,,Apart novíssimo! Ótima localização,Apartment,2017-07-02 04:24:00.138083,-23.635569,-46.716484,0101000020E6100000BB0D6ABFB55B47C0F75965A6B4A237C0
19483307,1418,28996220,Entire home/apt,,Sao Paulo,SAO PAULO,Vila Andrade,0,0.0,5,2.0,,89.0,,Requinte Morumbi,Apartment,2017-07-02 04:24:00.094134,-23.623444,-46.734845,0101000020E61000008750A5660F5E47C02EE3A6069A9F37C0
9866255,1418,23590336,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,12,5.0,4,2.0,,100.0,,BHD HOME DESIGN,Apartment,2017-07-02 04:23:58.362997,-23.620753,-46.697077,0101000020E61000009BE5B2D1395947C0D6E429ABE99E37C0
7742746,1418,1306210,Entire home/apt,,Sao Paulo,SAO PAULO,Pinheiros,0,0.0,3,3.0,,103.0,,Modern apartment in Pinheiros,Apartment,2017-07-02 04:23:47.015748,-23.564243,-46.681447,0101000020E6100000897AC1A7395747C037FFAF3A729037C0
1804888,1418,9460688,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,0,0.0,4,2.0,,94.0,,No coração do Itaim Bibi (90m2)!,Apartment,2017-07-02 04:23:47.012110,-23.582212,-46.674079,0101000020E6100000CFF57D38485647C0B8567BD80B9537C0
4708146,1418,20557628,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,0,0.0,3,1.0,,93.0,,Loft Duplex with maid and laundry,Loft,2017-07-02 04:23:46.257604,-23.58727,-46.671936,0101000020E6100000A680B4FF015647C003ECA353579637C0
